（高级）2019React教程+实战全集【千锋Web前端】（85集）,h5,30:05:18,19,1,2019/12/3,佐藤Edward,http://www.bilibili.com/video/av77867838?from=search&seid=8189182922628157808
【（千锋教育）Java 微服务实战合集】iToken,java,22:50:16,28000,478,2018/8/20,鲁斯菲尔,http://www.bilibili.com/video/av29882762?from=search&seid=8189182922628157808
千锋大数据教程：8、clientactor向master注册任务信息过程-1,大数据,7:33,1,0,2018/6/16,ww我看看66,http://www.bilibili.com/video/av25006795?from=search&seid=8189182922628157808
【千锋】2019Web前端从入门到精通（HTML+CSS全套）（109集）,h5,20:54:52,9085,9,2019/7/10,程序员手札,http://www.bilibili.com/video/av58546305?from=search&seid=8189182922628157808
千锋大数据教程：8、clientactor向master注册任务信息过程-1,大数据,7:33,2,0,2018/6/15,丽丽比比666,http://www.bilibili.com/video/av24908091?from=search&seid=8189182922628157808
（高级）NodeJS+Express+MongoDB实战项目【千锋Web前端】,h5,2:40:17,8,0,2019/12/3,佐藤Edward,http://www.bilibili.com/video/av77958682?from=search&seid=8189182922628157808
2019千锋JavaScript全套视频~全套资料,h5,114:59:59,36000,370,2019/4/24,千锋教育,http://www.bilibili.com/video/av50354956?from=search&seid=8189182922628157808
千锋教育-北京HTML51717期学员-刘同学-薪资15K,h5,5:56,1,0,2018/6/1,哦哦抗旱666,http://www.bilibili.com/video/av24214520?from=search&seid=8189182922628157808
【好程序员】Python数据分析全套视频教程,python,17:04:06,848,2,2019/11/14,千锋教育,http://www.bilibili.com/video/av75673346?from=search&seid=8189182922628157808
【千锋教育】python开发之 数据分析和人工智能教程（精讲）,python,76:19:41,3760,3,2019/7/13,逆风微笑的代码狗,http://www.bilibili.com/video/av57871213?from=search&seid=8189182922628157808
【千锋教育】2019最新Java微服务架构2.0教程~最前沿技术精选,java,28:01:51,1849,0,2019/9/12,逆风微笑的代码狗,http://www.bilibili.com/video/av67472757?from=search&seid=8189182922628157808
千锋教育-北京HTML51717期学员-丁同学-薪资13K,h5,5:16,1,0,2018/5/28,aoudenu865,http://www.bilibili.com/video/av24057553?from=search&seid=8189182922628157808
2019Python数据分析+人工智能从入门到精通【千锋】（34集）,python,11:36:02,317,0,2019/11/27,程序员手札,http://www.bilibili.com/video/av77239483?from=search&seid=8189182922628157808
千锋Java：2天学会spring框架教程,java,5:27:05,24000,396,2019/3/6,千锋教育,http://www.bilibili.com/video/av45541219?from=search&seid=8189182922628157808
千锋：2019Java微服务架构(SpringBoot+SpringCloud),java,48:10:13,57000,594,2019/3/9,千锋教育,http://www.bilibili.com/video/av45734793?from=search&seid=8189182922628157808
千锋：Unity游戏开发从入门到精通（小白必看）,其他,42:40:06,26000,151,2019/3/20,千锋教育,http://www.bilibili.com/video/av46809403?from=search&seid=8189182922628157808
千锋教育-北京HTML51713期学员-晏同学-薪资10K,h5,5:21,1,0,2018/6/7,点击诶春6666,http://www.bilibili.com/video/av24498898?from=search&seid=8189182922628157808
